4. CASE STUDIES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RULES: - READ Here,,,,,,,,,,,,,,,,,,,,
,"Purdy and Figg

Website",Cleaning products / household Goods,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content","450k (Pounds) 

Couldn't figure out how to scale, intrigued in our account philosophy and creative process

CEO was running the ad account and tried doing our philosophy and wanting to bring us in to run it. We then scaled seeding aggressively getting up to 2000 influencers per month to build awareness for the brand that could catapult our paid media efforts",50M (pacing closer to 70M now) (100X),,4 years,"Creative Volume, Cost control campaign structure, rapid offer testing, creative direction, seeding content",,,,,,,,,,,,
,"Purdy and Figg

Website",Cleaning products / household Goods,"Paid Media - Meta , financial forcasting + scale, product seeding, UGC, INfluencer generated content","Frankicense and Myrh scent launch

How we helped P&F unlock their first £1m day with the launch of a new scent launch

Average £25k a day in spend for last week of October then...","£1m revenue day on Nov 1 - with £250k in ad spend above target CPA, then £400k in ad spend above target CPA on Nov 2",,,"Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
,"Wildbird

Website",Baby / Parenting Products and Gear,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content",Very little investment to paid advertising - needed experts to step in and help,"343% increase to NCR in first year with Kynship compared to previous 12 months while maintaining aMER

Year 1 - $1.8M NCR ---> $8.2M NCR
Year 2 - $8.2M NCR --> $13.5M NCR
Year 3 - $13.5M NCR --> $20M NCR",,,"Forecast understanding that allowed them to understand profitability to scale far more aggressively, Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
,"Create Wellness

Website",Health & Wellness - Sports Nutrition / Performance Supplements,"Paid Media - Meta, product seeding, UGC, INfluencer generated content",Brand new brand,"$0 - $4MM in revenue in first year ---> 

Currently an $85MM runrate for this year as a brand (we don't work with them anymore so we cannot take any credit for this)",,,"Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
,"Animal House Fitness

Website",Fitness - Home Gym / Functional Training Equipment,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content",Brand new brand,$0-$3MM in 3 months,,,"Creative Volume, Cost control campaign structure, rapid offer testing, creative direction, seeding content",,,,,,,,,,,,
,"Protein Works

 Website",Health & Wellness - Functional Foods & Supplements / Protein-based nutrition,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content","Sophia Block For Protein and Made by Mary how could you highlight something case study worthy? What's the biggest story we can share that's us providing value on their behalf and them seeing results. Candidly, from a macro level Made by Mary is tough, they are a shrinking brand that used to be propped up by organic demand and is highly commoditized, they're being crushed by competition continuing to enter a competitive market and rising acqusition costs with no retention but if you could highlight something... what would it be?",,,First 90 Days post onboarding,,,,,,,,,,,,,
,"Made by Mary 

Website",Fashion & Accessories - Personalized / Meaning-driven jewelry,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content",Brand was seeing 20% YoY decline from 2024 --> beginning of 2025 was drastic decrease in contribution margin as their customer acqusition costs rose and they churned more customers then they acquired leading to a quickly shrinking active customer file. Brand has minimal LTV so they're heavily reliant on NCA ,,,,,,,,,,,,,,,,
,"Black Girl Vitamins

 Website",Health & Wellness / Nutritional Supplements - Targeted Women's Vitamins & Supplements,"Paid Media - Meta - Massive Seeding 

We don't run their entire account, just the seeding content","Needed creative diversity in their ad account, needed to build awareness and trust with customers organically. DIdn't have a way to test the large amounts of content seeding was generating so they needed our support to run it all in their ad account. Seeding content drove 40% of ad spend across the brand for more than two years",$8M per year in revenue to $85M per year in revenue,,,"Creative Volume, Cost control campaign structure, Seeding content",,,,,,,,,,,,
,"Sweet Bee Organics

Website","Health & Wellness / Personal Care - Holistic, organic wellness products","Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content","From £300k to £1.5m in NCR in 1 month

12 months prior to Kynship NCR= £2M
first 12 months with Kynship  NCR= £16M",700% increase in NCR while increasing aMER by 30%,,,"Forecast understanding that allowed them to understand profitability to scale far more aggressively, Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
,"Supergut
https://supergut.com/",Health & Wellness / Functional Nutrition - Digestive Health / Gut Health Supplements,"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content","Had shut off Meta ad spend due to rising CPA in early 2023. As they'd done that, they saw revenue drop drastically but the brand was able to become more profit conscious. As they shifted to being profit concscious they looked for a partner that did the same. They were drawn to our focus on profitability in the forecast process alongside the utilization of cost controls in the ad account to hinder inefficieny ad spend. ","$100k per month NCR  --> $1M per month NCR in 3 months 

Went from spending $25k on ads to over $500k in 3 months - saw increases in shopify NCR but also halo to Amazon and Retail",,,"Creative Volume, Cost control campaign structure, Seeding content",,,,,,,,,,,,
,"Southern Scholar
https://southernscholar.com/",Fashion & Apparel - Men’s Premium Accessories (Socks),"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content",,,,,,,,,,,,,,,,,
,"Gardencup
https://gardencup.com/","Food & Beverage / Meal Delivery - Healthy, ready-to-eat meal cups (salad-first)","Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content","Lack of creative volume, felt like previous agency was dragging there feet to get new content tested and into the account. Couldn't keep up with creative production",$260k NCR per month ---> $776k NCR in Kynship month 1,,,"Forecast understanding that allowed them to understand profitability to scale far more aggressively, Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
,"Grüns
https://gruns.co/",Health & Wellness / Nutritional Supplements - “All-in-one” superfood + multivitamin gummies,"Paid Media - Meta, Seeding",Brand new brand,"$0-$2m in first two months ---> now a $500+ million dollar brand

We only managed for first two months",,,"Creative Volume, Cost control campaign structure, Seeding content",,,,,,,,,,,,
,"Momofuku
https://www.momofuku.com/",Specialty CPG - Chef-driven premium pantry staples (Asian-inspired),"Paid Media - Meta / Google - financial forcasting + scale, product seeding, UGC, INfluencer generated content",Wanted a partner that could help them utilize mass creative and help scale their account. ,"Month prior to Kynship - $800k in revenue

First month with Kynship - $2.2M
2nd month with Kynship - $4.2M (biggest month in brand history)",,,"Forecast understanding that allowed them to understand profitability to scale far more aggressively, Creative Volume, Cost control campaign structure, rapid offer testing, creative direction",,,,,,,,,,,,
