Better case studies with name brands or revenue metrics,,,,,,,,,,,,,,,,,,,,
#,Client Name + Website,Sub Niche/Industry,Service,BEFORE (Metrics + Problems),AFTER (Results/Metrics),Other Notable Results,Timeframe,Unique Mechanism Statement,TIER,TIER RANKING AND WHY,How We Would Use It in Outreach,,,,,,,,,
2,Spoonful of Comfort | spoonfulofcomfort.com,Ecommerce / DTC Gift,SEO + Content Marketing,Hired after failed prior agency in 2018; low organic revenue; site migration risk,"2,362% increase in organic revenue; 1,901% increase in transactions; $462K revenue from blog posts; 21.65% AOV increase",Featured on Shark Tank; 5-year partnership,5 years,Topic cluster strategy + Shopify migration managed by Big Leap + ongoing SEO process built into product/content/dev teams,A,A-tier: Clear revenue transformation (2362% organic revenue) + compelling 5-year story. $462K from blog posts is a killer supporting stat. Spoonful not a household name = not S.,"We grew Spoonful of Comfort's organic revenue 2,362% over 5 years and generated $462K from blog content alone'",,,,,,,,,
,,,,lack of seo efforts,"$462,000 in new revenue from technical SEO fixes","rankings for : “Soup gifts”
“Soup care package”
“Comfort soup delivery”
“Get well basket ideas”
“Get well gift ideas”
“Get well care package”","5 years total client relationship, revenue increase was from a 6 month period",https://www.bigleap.com/case-studies/spoonful-of-comfort/,,,,,,,,,,,,
15,Solstice Medicine Company | (unknown),Healthcare / Natural Medicine,RevOps / Email,Averaging $4500/mo in sales from email marketing,Increased to $8563/mo in sales wiith he same list,Email revenue transformation from RevOps program,5 months,Better storytelling and messaging to engage their core audience,B,B-tier: 134% email revenue increase is a clear revenue transformation. Small brand recognition.,Solstice Medicine grew email revenue 134% with Big Leap RevOps',,,,,,,,,
14,Luxor | luxorfurniture.com,B2B Ecommerce / Office Furniture,PPC,"Losing money on paid ad campaigns, reliant on retail partnerships","$581k revenue generated on $254k of ad spend, proiftable D2C, higher margin campaigns",,11 months,PPC campaign structured around bottom-funnel purchase intent for standing desk/furniture brand,B,,Big Leap drove $324K in tracked revenue for Luxor through paid advertising',,,,,,,,,
34,Medshift | medshift.com,B2B - Ecommperce / Healthcare,PPC,Low purchase volume,no digital marketing presence,"$108k/mo new revenue, 18.1% ROI",4 months,Layering Facebook ads to google search ad campaigns,C,,Medshift went from low volume to 900+ new monthly purchases through Big Leap paid search',,,,,,,,,
16,The Honest Company | honest.com,Ecommerce / CPG / Baby,GEO + SEO + Content,weak SEO presence despite large brand,14% increase in ecommerce conversions,"Over 1,144 top 10 KW rankings including #2 for ""diapers"", #1 for ""newborn baby diapers"", Very recognizable national DTC/CPG brand",6 months,Technical SEO + content strategy to rank high-competition CPG keywords,C,C-tier: The Honest Company is well-known nationally. But metric is keyword rankings = C. Would be A/B with revenue data.,The Honest Company gained 522 top-3 keyword rankings — strong brand proof for consumer/CPG prospects',,,,,,,,,
32,Milk Snob | milksnob.com,Ecommerce / Baby Products,PPC,Low ROAS,$58k in revenue  - 6.57x ROAS,Baby products brand; Shark Tank appearance,3 months,Precision paid advertising for DTC baby products brand to maximize ad return,C,C-tier: 6.57x ROAS is a markety metric. Milk Snob has some recognition from Shark Tank.,Milk Snob achieved 6.57x ROAS with Big Leap paid advertising — proof for Shark Tank DTC brands',,,,,,,,,
12,Paystand | paystand.com,B2B / SaaS / FinTech,Content Marketing,1300 leads,1982 leads,B2B lead count; fintech payments niche,6 months,Content marketing built around B2B payment industry education to generate qualified pipeline,B,,Paystand generated 290 new leads through a targeted Big Leap content marketing program',,,,,,,,,
42,Power Finance Texas | powerfinancetexas.com,Financial Services / Lending,SEO + Content,,40% increase in loan applications,Payday lending niche; % keyword metric,6 months,"built localized landing pages to drive keyword rankings like ""payday loans dallas"" and ""payday loans san antonio""",D,D-tier: % keyword metric; niche payday lending brand.,Background proof only,,,,,,,,,
9,Hemplucid | hemplucid.com,Ecommerce / CBD,Email - Revops,weak email success,"$250k in email revenue, 144% increase",Revenue metric stated; operates in regulated CBD space,90 days,"segmentation, a/b testing",B,B-tier: 144% revenue increase is a clear revenue metric. Small brand. Demonstrates regulated industry SEO capability.,Hemplucid grew revenue 144% through SEO in a regulated CBD market where ads aren't an option',,,,,,3,Home Services / Contractors,11,"Decent volume, but mostly weaker proof"
,,,,,,,,,,,,,,,,,,,,
Non-published results from our client team,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,MedShiftRX,B2B ecommerce,"We helped MedShiftRx reach a 250% YoY increase (from ~$26.2K to ~$91.7K) in revenue from organic search in just over a year of SEO initiatives, including product page optimizations, educational blog content, metadata enhancements, back linking efforts, and technical SEO implementations.",,,,,,,,,,,,,,,,,
,Dominator,B2C ecommerce,We helped Dominator Hoops go from $41k/mo to $88k/mo in Organic Revenue in one year (Mar 2024 - Mar 2025) by driving SEO rankings for conversion-focused keywords surrounding pickle ball nets and basketball hoops. We also helped strengthen their brand visibility by capturing many Answer Box/ AI Overview SERP features answering questions people have about pickle ball nets and hoops and installing them in their home.,,,,,,,,,,,,,,,,,
,Weitz & Luxenberg,Legal,"We helped Weitz & Luxenberg grow organic case evaluation form submits from 360 to 1,639 year-over-year (Jan-Apr) by combining SEO, litigation-focused content, and AI Overview visibility.",,,,,,,,,,,,,,,,,
,GED.com,Education,We helped GED improve their ChatGPT presence from 31% to 67% in under 3 months by optimizing existing content for high-intent prompts across three target personas.,,,,,,,,,,,,,,,,,
,Riviera Financial,Financial Services,"We helped Riviera Finance grow form application submissions from 117/month to 135+/month in under a year through content optimization, schema markup, and authoritative link building.",,,,,,,,,,,,,,,,,
,1st Pet Vet,Multi Locaiton Veterinarian,We helped 1st Pet Vet increase new customer calls from 46 to 77 in 3 months by optimizing their GBP pages and increasing their presence on ChatGPT.,,,,,,,,,,,,,,,,,
,Wilding Wallbeds,B2C ecommerce,We helped Wilding Wallbeds generate $58k in new sales in under 90 days through Digital PR media placements and founder-led storytelling,,,,,,,,,,,,,,,,,
,Dominator,B2C ecommerce,We helped increase Dominator's revenue from $250k/mo to $357k/mo in 2 months after taking over their ad accounts from their internal team . Results achieved by improved ad campaign targeting and focus on high ROI products.,,,,,,,,,,,,,,,,,
,AJ Perri,Multi Location Home Services,We helped AJ Perri add another $105k of monthly revenue through SEO optimization of their service and location pages.,,,,,,,,,,,,,,,,,
,NEAT Method,Multi Location Home Services,We helped NEAT Method double their lead volume year over year through SEO optimization of their service and location pages.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All other case studies,,,,,,,,,,,,,,,,,,,,
3,Visionworks | visionworks.com,Retail Optical / Multi-Location,SEO + Content Marketing,Low organic sessions; poor local page performance,59% increase in organic sessions; 313K+ increase in clicks; 7.9M increase in impressions to local pages,Multi-location franchise SEO at scale,Ongoing,Dual national + local SEO strategy targeting both brand authority and individual location pages,A,A-tier: Recognizable national brand + strong sessions/clicks metrics. No revenue number = not S. Two separate case studies (SEO and Content).,"We increased Visionworks' organic sessions 59% and clicks by 313,000+ with national + local SEO'",,,,,,,,,
6,Workfront (now Adobe) | workfront.com,B2B / SaaS / Project Management,SEO + CRO,Low conversions from organic,104% increase in conversions,Adobe acquired Workfront; now Adobe Workfront,Unknown,CRO-informed SEO to drive qualified conversions for enterprise SaaS platform,B,B-tier: Adobe Workfront is very recognizable. 104% conversion increase is a revenue-generating metric. Would be A with revenue dollars.,Workfront (now Adobe) doubled conversions from organic with Big Leap SEO — big name for enterprise prospects',,,,,,Rank,Industry group,Case studies,Signal strength
7,Dr. Harvey's | drharveypets.com,Ecommerce / Pet Food DTC,SEO + Content Marketing,Unknown before-state; needed to establish organic authority,580% ROI,Strong ROI metric tied to revenue,Unknown,Content-led authority building in premium natural pet food niche,B,B-tier: 580% ROI is revenue-generating but missing a before/after revenue transformation. Small brand recognition.,Dr. Harvey's achieved 580% ROI on their SEO investment with Big Leap',,,,,,1,B2B SaaS / Tech + professional services,26,"Broad volume, but many are lower-tier"
8,Car Rental Company (anon) | (unnamed),Travel / Multi-Location,SEO,Essentially no conversions from organic,3697% increase in conversions,Dramatic conversion transformation even if brand is unnamed,Unknown,Conversion-focused SEO strategy built around purchase-intent keywords for car rental,B,"B-tier: 3,697% conversion increase is a transformation stat. No logo power (anonymized).","An anonymized car rental brand achieved a 3,697% conversion increase from organic search'",,,,,,2,Ecommerce / DTC / CPG,23,Strongest commercial proof overall
,,,,,,,,,,,,,,,,,,,,
10,Ecommerce Revenue (anon) | (unnamed),Ecommerce,SEO + Content,Low revenue,225% increase in revenue,Revenue transformation; anonymized,Unknown,SEO + content strategy to drive ecommerce revenue from organic,B,B-tier: 225% revenue increase is solid but anonymized client.,An anonymized ecommerce brand grew revenue 225% with Big Leap SEO + content',,,,,,,,,
11,Ecommerce Chocolate Company (anon) | (unnamed),Ecommerce / Food,PPC,Low ROAS,2500% increase in ROAS,Dramatic ROAS improvement; anonymized,Unknown,Precision PPC management to explode ROAS in food ecommerce,B,"B-tier: 2,500% ROAS is a strong revenue-adjacent stat. Anonymized limits impact.","An anonymized chocolate brand achieved 2,500% ROAS improvement with Big Leap PPC'",,,,,,,,,
13,Redmond Life | redmond.life,Ecommerce / Natural Products,RevOps / Email,Unknown before-state,$27K revenue from one email,$27K from a single email — tight ROI story,Unknown,Single precision email executed to generate $27K in one send,B,B-tier: $27K from one email is a specific revenue dollar amount with a compelling single-action story.,"Redmond Life generated $27,000 from a single email — the kind of leverage we build into every program'",,,,,,,,,
17,Purple | purple.com,Ecommerce / Mattress,SEO,Low keyword count,"12,642 ranking keywords",Nationally recognized mattress brand,Unknown,Technical SEO to establish keyword dominance for high-competition mattress brand,C,C-tier: Purple is nationally recognizable. But keyword count is a C/D metric. Strong brand for ecommerce prospects.,"Purple went from minimal to 12,642 ranking keywords — brand proof for ecommerce + competitive markets'",,,,,,,,,
18,Alphagraphics | alphagraphics.com,Multi-Location / Printing / B2B,SEO,Low organic traffic,105% increase in organic traffic,Franchise brand with 300+ locations; strong testimonial,Unknown,Enterprise franchise SEO spanning 300+ locations,C,C-tier: Alphagraphics is recognizable in franchising. Traffic % = D metric but brand + testimonial push to C.,Alphagraphics grew organic traffic 105% across 300+ franchise locations with Big Leap',,,,,,,,,
19,Extra Space Storage | extraspace.com,Multi-Location / Self-Storage,SEO,Low backlink profile,190+ new quality backlinks,Nationally recognized storage brand,Unknown,Strategic link acquisition for enterprise self-storage brand,C,C-tier: Extra Space Storage is highly recognizable. Backlinks are an input metric. Strong brand for credibility.,Use as brand proof for multi-location/franchise prospects,,,,,,,,,
20,Pluralsight | pluralsight.com,B2B / SaaS / Online Learning,SEO + Content,Low organic impressions,36M impressions,Very recognizable B2B tech education brand; strong testimonial,Unknown,Content + SEO for enterprise online learning platform,C,C-tier: Pluralsight is very well-known in B2B/tech. 36M impressions = vanity metric. Brand name has logo power for B2B prospects.,Use as brand proof for B2B/SaaS prospects,,,,,,,,,
21,GED Testing | ged.com,Education / Test Prep,SEO + Content,Low organic impressions,+12.3M organic impressions,GED brand is well recognized in education,Unknown,SEO + content to dominate GED prep search space nationally,C,C-tier: GED is recognizable. 12.3M impressions is a volume stat = vanity. Useful for education/nonprofit prospects.,Brand proof for education prospects,,,,,,,,,
22,Core | core.com (CORE Water/Hydration),Ecommerce / CPG / Beverage,SEO + Content,Low keyword positions,"6,694 increase in keyword positions",CORE is recognizable in CPG/beverage; strong client testimonial,Unknown,Comprehensive keyword position improvement for consumer beverage brand,C,C-tier: CORE brand is recognizable. Keyword position increase is an input metric but strong testimonial adds value.,Brand proof for CPG/consumer brand prospects,,,,,,,,,
23,Venafi | venafi.com,B2B / SaaS / Cybersecurity,SEO + Content,Low organic sessions,105% increase in organic sessions,Well-known B2B cybersecurity brand; strong testimonial,Unknown,Technical + content SEO for enterprise cybersecurity machine identity platform,C,C-tier: Venafi recognized in enterprise security. Traffic % metric = C. Brand adds value for B2B/enterprise.,Brand proof for B2B/enterprise/security prospects,,,,,,,,,
24,Canopy | getcanopy.com,B2B / SaaS / Tax Software,SEO,Low page-1 keyword count,600% growth in 1st page rankings,Known in accounting SaaS space,Unknown,Technical SEO + content to dominate tax software keywords,C,C-tier: Canopy is known in accounting SaaS. 600% is a % from unstated baseline.,Brand proof for B2B/SaaS/accounting prospects,,,,,,,,,
25,Cascade | www.cascadecollision.com,Multi-Location / Auto Repair,SEO + CRO,Low conversion rates,173% conversion rate increase,B2B SaaS strategy platform; conversion metric,Unknown,CRO + SEO to nearly triple conversions for strategy management SaaS,C,C-tier: 173% conversion increase is revenue-generating. Cascade is recognized in B2B strategy software.,Cascade nearly tripled conversion rates with Big Leap CRO + SEO',,,,,,,,,
26,Bricks & Minifigs | bricksandminifigs.com,Franchise / Retail / LEGO,SEO + Reputation,Low review count; low local visibility,66.1% increase in Google reviews,Multi-location franchise in LEGO retail space,Unknown,Local SEO + reputation management to accelerate Google review velocity across franchise locations,C,C-tier: Review metric is a markety/C stat. Bricks & Minifigs is recognizable in the LEGO franchise community.,Supporting proof for multi-location/franchise + reputation prospects,,,,,,,,,
27,NuSkin | nuskin.com,Network Marketing / Beauty / Health,Reputation Management,Negative search results suppressed brand visibility,108% jump in positive search results,NuSkin has global brand recognition,Unknown,ORM strategy to push positive content and suppress negatives for global network marketing brand,C,C-tier: NuSkin brand recognition is high. Reputation metric = C. Demonstrates ORM capability at scale.,NuSkin doubled positive search results with Big Leap ORM — for brands facing reputation challenges',,,,,,,,,
28,Visionworks Content | visionworks.com,Retail Optical / Multi-Location,Content Marketing,Low local page impressions,7.9M increase in impressions to local pages,Same brand as #3 — content-specific case study,Unknown,Location-specific content strategy to drive local page organic visibility,C,C-tier: Visionworks brand recognition strong. 7.9M impressions = vanity metric. Use as content marketing proof for multi-location brands.,Content marketing proof for multi-location/franchise prospects,,,,,,,,,
29,Roof Maxx | roofmaxx.com,Home Services / Roofing Franchise,SEO,Low featured snippets,70+ featured snippet boxes,Roof Maxx is a recognized franchise brand in roofing,Unknown,Featured snippet-focused SEO to capture position-zero in roofing/home services queries,C,C-tier: 70+ featured snippets is a specific count (not %). Roof Maxx is a recognized franchise.,Roof Maxx captured 70+ featured snippet boxes — proof for roofing/home service franchise brands',,,,,,,,,
30,Rehab & Recovery | (unknown healthcare),Healthcare / Behavioral Health,SEO,Low first-page rankings,"1,354 first-page rankings",Healthcare/behavioral health brand; high-intent keyword rankings,Unknown,Local SEO for behavioral health/rehabilitation center to drive patient lead flow,C,"C-tier: 1,354 first-page rankings is a specific number (not %). Healthcare niche = real business intent behind those rankings.","A behavioral health center achieved 1,354 first-page Google rankings — proof for healthcare prospects'",,,,,,,,,
31,Urban Orthodontics | urbanorthodontics.com,Healthcare / Orthodontics,SEO + CRO,Low conversion rates,109% increase in conversion rates,Healthcare/dental practice; conversion metric,Unknown,CRO + SEO strategy to convert more website visitors to appointment bookings,C,C-tier: 109% conversion rate increase is revenue-generating stat. Healthcare niche.,Urban Orthodontics doubled conversion rates with Big Leap CRO + SEO',,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
33,Truvy | truvy.com,Ecommerce / Weight Loss / Health,PPC,Low ROAS,6x ROAS,Known brand in health/wellness space,Unknown,PPC optimization in competitive health supplement/MLM space,C,C-tier: 6x ROAS is a markety metric. Truvy is known in wellness/MLM.,Supporting proof for health/supplement prospects,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
35,Auto Care (anon) | (unnamed),Automotive / Auto Care,SEO,Low goal conversions,77% increase in goal conversions,Anonymized auto care chain; conversion % metric,Unknown,SEO for auto care/repair chain to increase online booking conversions,C,C-tier: 77% conversion increase is revenue-adjacent. Auto care franchise = relatable for franchise home services.,An auto care brand grew goal conversions 77% — proof for automotive/franchise service brands',,,,,,,,,
36,Elite Ops | eliteops.com,B2B / Logistics / 3PL,SEO + CRO,Low key landing page traffic,228% growth in traffic to key landing pages,B2B logistics/3PL brand; high-intent landing page traffic,Unknown,CRO + SEO focused on driving traffic to high-intent conversion landing pages for 3PL company,C,C-tier: 228% growth in key landing pages is revenue-adjacent for B2B. Logistics/3PL is a solid ICP.,Elite Ops grew traffic to key landing pages 228% — proof for B2B/industrial brands',,,,,,,,,
37,Round Sky | roundsky.com,B2B / Financial / Lead Gen,SEO + PPC,100% reliant on PPC; zero organic presence,"3,400% increase in keyword rankings",Cross-channel case study: PPC + SEO together,Unknown,Built full organic channel from scratch alongside existing PPC to maximize total digital visibility,C,"C-tier: 3,400% keyword growth from zero is compelling but % metric. Interesting cross-channel story.","Round Sky grew keyword rankings 3,400% by adding SEO alongside their existing PPC — for brands stuck on paid-only'",,,,,,,,,
38,Yo Soy NuSkin | nuskin.com,Network Marketing / Beauty,SEO + Content,Low organic sessions in Spanish language market,5000+ organic sessions/month,NuSkin brand recognition; Spanish-language strategy,Unknown,Spanish-language SEO + content for NuSkin distributor market expansion,C,C-tier: NuSkin brand recognition. 5000 sessions/month is small in absolute terms but the multilingual angle is differentiated.,Niche proof for multilingual/international SEO,,,,,,,,,
39,Vivo | vivo.com,Ecommerce,PPC,Low ROI,238% increase in ROI,ROI improvement implies revenue,Unknown,PPC restructuring to improve total return on investment,C,C-tier: ROI % increase is a step above pure traffic % but no dollar amount.,Supporting proof for ecommerce PPC prospects,,,,,,,,,
40,Awardco (SEO) | awardco.com,B2B / SaaS / HR Tech,SEO + Content Marketing,Low impressions and organic visibility,35M+ surge in organic impressions,Separate from Digital PR case study,Ongoing,Long-form content + technical SEO to dominate HR/employee recognition keyword space,C,C-tier: 35M impressions is a large vanity metric. Awardco brand recognition in B2B HR.,Supporting proof for B2B/SaaS prospects alongside Digital PR case study,,,,,,,,,
41,Cleartub | cleartub.com,Ecommerce / Home,PPC,Low ROAS,152.3% increase in ROAS,Ecommerce PPC improvement,Unknown,PPC management to improve ROAS efficiency for home product ecommerce,D,D-tier: % ROAS increase = D by scoring guide. Small brand.,Background supporting proof,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
43,Canopy (duplicate),See entry #24,,,,,,,,,,,,,,,,,,
44,American Pest Control | americanpest.com,Home Services / Pest Control,SEO + Content,Low organic traffic,800% increase in organic traffic,Strong % growth; regional pest control brand,Unknown,Local SEO + content for multi-location pest control,D,"D-tier: % traffic metric. 800% is large but from a small base, unknown brand.",Background proof only,,,,,,,,,
45,American Roofing (SEO) | (unknown),Roofing / Home Services,SEO,Low new users,431% increase in new users,Unknown brand; user % metric,Unknown,Local SEO for roofing company,D,D-tier: % user increase; unknown brand.,Background proof only,,,,,,,,,
46,Roofing Contractor (anon) | (unnamed),Roofing / Home Services,SEO + Content,Low local keyword rankings,"1,308% increase in local keyword rankings",Anonymized contractor,Unknown,Local SEO blitz for roofing contractor,D,D-tier: % keyword metric + anonymized.,Background proof only,,,,,,,,,
47,Florida Notary Association | floridanotary.com,B2B / Professional Association,SEO,Low organic traffic,192% increase in organic traffic,Niche professional association,Unknown,SEO for professional licensing association,D,D-tier: % traffic increase; niche brand.,Background proof only,,,,,,,,,
48,GED (see entry #21 — duplicate check),,,,,,,,,,,,,,,,,,,
49,Agility | agility.com,B2B / SaaS / CMS,SEO + Content,Low keyword count,"1,571% increase in keywords",B2B CMS/headless SaaS; % keyword metric,Unknown,Content-led SEO to dominate CMS/headless content keywords,D,D-tier: % keyword increase; smaller B2B SaaS brand.,Background proof only,,,,,,,,,
50,Security & Home Automation (anon),Home Services / Security,SEO,Low users and page views,100% increase in users & page views,Unknown brand; traffic metric,Unknown,Local SEO for home security/automation company,D,D-tier: % traffic; unknown brand.,Background proof only,,,,,,,,,
51,KodeKloud | kodekloud.com,EdTech / DevOps Training,SEO,Low impressions,376K increase in impressions,EdTech brand in cloud/DevOps training; impression metric,Unknown,SEO to grow impressions for cloud training platform,D,D-tier: Impression metric; niche EdTech.,Background proof only,,,,,,,,,
52,Open Doors | (nonprofit),Nonprofit / Christian Ministry,SEO,Low impressions,119% boost in impressions,Nonprofit; impression % metric,Unknown,SEO for nonprofit/ministry,D,D-tier: % impression; nonprofit.,Background proof only,,,,,,,,,
53,Cybersecurity Management (anon),B2B / Cybersecurity,SEO,Low Google positions,477 increase in Google positions,Anonymized cybersecurity client,Unknown,Technical SEO for cybersecurity management company,D,D-tier: Position count + anonymized.,Background proof only,,,,,,,,,
54,Oy Boy | oyboy.com,Ecommerce / Kosher Food,SEO,Low keyword count,"4,237 increase in keywords",Niche food brand,Unknown,SEO for kosher/specialty food ecommerce,D,D-tier: Keyword count metric; very niche.,Background proof only,,,,,,,,,
55,Current Home | currenthome.com,Home Services / Solar + Roofing,SEO,Low new users,556% increase in new users,Home services brand; user % metric,Unknown,Local SEO for solar and roofing company,D,D-tier: % user metric; small brand.,Background proof only,,,,,,,,,
56,Now Tech | (unknown),B2B / Technology,SEO,Low page views,"2,000+ new organic page views",Small B2B tech; page view metric,Unknown,SEO content for B2B tech presence building,D,D-tier: Page view metric; unknown brand.,Background proof only,,,,,,,,,
57,Excel Softsources | (unknown),B2B / IT Staffing,SEO,Low keyword positions,+1995 increase in keyword positions,Unknown IT staffing brand; position metric,Unknown,SEO for IT staffing/consulting firm,D,D-tier: Position metric; unknown brand.,Background proof only,,,,,,,,,
58,Finch Brands | finchbrands.com,B2B / Branding Agency,SEO + Content,Low SERP positions,+706 SERP position gains,B2B branding consultancy; position metric,Unknown,SEO for B2B branding firm,D,D-tier: Position metric; small B2B service firm.,Background proof only,,,,,,,,,
59,Absolute Air | (HVAC brand),HVAC / Home Services,SEO + Content,Low keyword count,"3,572 new keywords",HVAC brand; keyword metric,Unknown,Local SEO for HVAC company,D,D-tier: Keyword count metric; local HVAC.,Background proof only,,,,,,,,,
60,Rehab & Recovery (see entry #30 duplicate),,,,,,,,,,,,,,,,,,,
61,Tech9 | tech9.io,B2B / Software Dev,SEO,Low impressions,80% growth in site impressions,IT services brand; impression % metric,Unknown,SEO for custom software development company,D,D-tier: % impression; B2B IT services.,Background proof only,,,,,,,,,
62,Software Dev Company (anon),B2B / Software Dev,SEO,Low organic traffic,152% increase in organic traffic,Anonymized; traffic % metric,Unknown,SEO for software development company,D,D-tier: % traffic + anonymized.,Background proof only,,,,,,,,,
63,InvoSpa | invospa.com,Ecommerce / Wellness / Massage,Social Media,Low followers,500% increase in Facebook followers,Wellness brand; social metric,Unknown,Social media growth for wellness/massage brand,D,D-tier: Social follower count = D.,Background proof only,,,,,,,,,
64,Impact Utah | impactutah.org,Nonprofit / Community,SEO + Social + Content,Low traffic,320% increase in traffic,Nonprofit Utah; traffic % metric,Unknown,Multi-channel digital marketing for Utah nonprofit,D,D-tier: % traffic + nonprofit.,Background proof only,,,,,,,,,
65,Mortgage Educators & Compliance | mortgageeducators.com,Financial Services / Education,SEO,Low organic traffic,43.5% increase in organic traffic,Niche financial education brand; small % traffic,Unknown,SEO for mortgage licensing education platform,D,D-tier: Small % traffic; niche brand.,Background proof only,,,,,,,,,
66,Latest Solutions | (unknown),B2B / Technology,SEO,Low organic traffic,1900% increase in organic traffic,Unknown brand; large % from tiny base,Unknown,SEO build-out for early-stage B2B tech company,D,D-tier: Large % from very small base; unknown brand.,Background proof only,,,,,,,,,
67,American Roofing Social | (same brand),Roofing / Home Services,Social Media,Low organic social reach,8912% increase in organic reach,Same roofing brand as #45; social reach % metric,Unknown,Social media strategy for roofing company,D,D-tier: % social reach; local contractor.,Background proof only,,,,,,,,,
68,McCoy's Knotty Alder | mccoysknottyalder.com,Home Goods / Cabinets,SEO,Low leads,60% increase in lead gen,Cabinet brand; lead % metric,Unknown,Local SEO to drive cabinetry inquiry lead flow,D,D-tier: % lead metric; small local brand.,Background proof only,,,,,,,,,
69,TaxHelp MD | taxhelpmd.com,Financial Services / Tax Resolution,SEO,Low organic traffic,7466% increase in organic traffic,Tax resolution niche; massive % from very small base,Unknown,SEO for tax resolution firm from near-zero online presence,D,D-tier: Very large % from tiny base; small brand.,Background proof only,,,,,,,,,
70,Roswell Infiniti | roswellinfiniti.com,Automotive / Auto Dealership,SEO,Low keyword rankings,101% increase in keywords ranking,Infiniti dealership; keyword % metric,Unknown,Local SEO for luxury auto dealership,D,D-tier: % keyword metric; single dealership.,Background proof only,,,,,,,,,
71,SaaS (anon) | (unknown),B2B / SaaS,SEO,Low organic traffic,5600% increase in organic traffic,Anonymized SaaS; % traffic from minimal base,Unknown,SEO growth for early-stage SaaS company from near zero,D,D-tier: % metric + anonymized.,Background proof only,,,,,,,,,
72,Kiwi Energy | kiwienergy.us,Energy / Utilities,SEO,Low organic traffic,853% growth in organic traffic,Energy brand; % traffic metric,Unknown,SEO for energy provider,D,D-tier: % traffic; energy utility niche.,Background proof only,,,,,,,,,
73,Removal Tech | removaltech.com,Home Services / Junk Removal,SEO + Content,Low site traffic,55% increase in site traffic,Junk removal brand; small % traffic metric,Unknown,Local SEO for junk removal company,D,D-tier: Small % traffic; local brand.,Background proof only,,,,,,,,,
74,Kate's Real Food | katesrealfood.com,Ecommerce / Outdoor / Energy Bars,SEO + Content,Low product view sessions,139.76% increase in product view sessions,Outdoor/adventure food brand; session metric,Unknown,SEO + content to drive ecommerce product discovery,D,D-tier: % session increase on product views.,Background proof only,,,,,,,,,
75,SwimJim Part 2 | swimjim.com,Local / Swim School,Content Marketing,Low blog traffic,"70,000 new page views",Local swim school; page view metric,Unknown,Content marketing for local children's swim school,D,D-tier: Page view metric; very local brand.,Background proof only,,,,,,,,,
